2022-05-20,UST-USD
Time,Price,UnixTime
01:23:51.302866Z,0.07572,1653009831.302866
01:23:57.406961Z,0.07577,1653009837.406961
01:24:24.989145Z,0.07599,1653009864.989145
01:24:38.806717Z,0.076,1653009878.806717
01:24:44.098413Z,0.07583,1653009884.098413
01:24:46.873246Z,0.07576,1653009886.873246
01:24:52.355168Z,0.07571,1653009892.355168
01:24:59.667538Z,0.0759,1653009899.667538
01:25:01.065403Z,0.07569,1653009901.065403
01:25:07.466451Z,0.0759,1653009907.466451
01:25:30.048382Z,0.0759,1653009930.048382
01:26:00.835404Z,0.0759,1653009960.835404
01:26:07.735018Z,0.07581,1653009967.735018
01:26:16.671134Z,0.07581,1653009976.671134
01:26:23.094709Z,0.07581,1653009983.094709
01:26:37.781482Z,0.07577,1653009997.781482
01:26:56.474581Z,0.07573,1653010016.474581
01:27:06.818145Z,0.07574,1653010026.818145
01:27:07.143209Z,0.07581,1653010027.143209
01:27:17.531226Z,0.07574,1653010037.531226
01:27:25.931690Z,0.07582,1653010045.93169
01:27:52.767406Z,0.07599,1653010072.767406
01:27:53.836215Z,0.07596,1653010073.836215
01:28:04.617354Z,0.07599,1653010084.617354
01:28:12.995888Z,0.07576,1653010092.995888
01:28:34.573395Z,0.07576,1653010114.573395
01:28:43.059781Z,0.07579,1653010123.059781
01:28:47.948602Z,0.07599,1653010127.948602
01:29:01.312753Z,0.07599,1653010141.312753
01:29:46.023364Z,0.07599,1653010186.023364
01:29:53.154763Z,0.07583,1653010193.154763
01:30:08.104692Z,0.07599,1653010208.104692
01:30:22.997572Z,0.07583,1653010222.997572
01:30:40.158316Z,0.07582,1653010240.158316
01:30:53.693825Z,0.076,1653010253.693825
01:30:58.424032Z,0.07583,1653010258.424032
01:31:23.122115Z,0.07583,1653010283.122115
01:31:49.901641Z,0.076,1653010309.901641
01:31:53.709588Z,0.07608,1653010313.709588
01:32:13.679955Z,0.07591,1653010333.679955
01:32:23.062758Z,0.07591,1653010343.062758
01:32:56.881992Z,0.07598,1653010376.881992
01:32:59.530725Z,0.07599,1653010379.530725
01:33:04.295440Z,0.07592,1653010384.29544
01:33:09.860882Z,0.07613,1653010389.860882
01:33:15.388122Z,0.07591,1653010395.388122
01:33:23.258764Z,0.07621,1653010403.258764
01:33:31.048583Z,0.07621,1653010411.048583
01:33:35.282244Z,0.07621,1653010415.282244
01:33:42.170058Z,0.07591,1653010422.170058
01:33:47.575436Z,0.07591,1653010427.575436
01:33:48.385206Z,0.07591,1653010428.385206
01:33:53.387257Z,0.07591,1653010433.387257
01:34:01.339833Z,0.07591,1653010441.339833
01:34:10.142638Z,0.07591,1653010450.142638
01:34:17.481002Z,0.07591,1653010457.481002
01:34:22.389480Z,0.07591,1653010462.38948
01:34:25.264242Z,0.07591,1653010465.264242
01:34:32.224375Z,0.07584,1653010472.224375
01:34:38.317279Z,0.07583,1653010478.317279
01:34:43.092153Z,0.07582,1653010483.092153
01:34:44.984970Z,0.07551,1653010484.98497
01:35:03.595767Z,0.0757,1653010503.595767
01:35:13.797233Z,0.0755,1653010513.797233
01:35:18.941829Z,0.07555,1653010518.941829
01:35:23.399846Z,0.0755,1653010523.399846
01:35:52.867065Z,0.07552,1653010552.867065
01:35:59.349387Z,0.0755,1653010559.349387
01:36:04.554820Z,0.0755,1653010564.55482
01:36:04.792197Z,0.07546,1653010564.792197
01:36:12.877580Z,0.07545,1653010572.87758
01:36:18.755663Z,0.07549,1653010578.755663
01:36:29.499184Z,0.0754,1653010589.499184
01:36:37.124918Z,0.07538,1653010597.124918
01:36:40.737179Z,0.07557,1653010600.737179
01:36:49.085192Z,0.07518,1653010609.085192
01:37:15.445654Z,0.07547,1653010635.445654
01:37:20.544778Z,0.07548,1653010640.544778
01:37:25.785315Z,0.07523,1653010645.785315
01:37:28.147600Z,0.07521,1653010648.1476
01:37:48.383213Z,0.07569,1653010668.383213
01:38:04.739718Z,0.07569,1653010684.739718
01:38:08.795792Z,0.0755,1653010688.795792
01:38:13.773961Z,0.0755,1653010693.773961
01:38:21.537277Z,0.07553,1653010701.537277
01:38:21.598440Z,0.07553,1653010701.59844
01:38:29.111544Z,0.07551,1653010709.111544
01:38:33.119733Z,0.07548,1653010713.119733
01:38:41.105150Z,0.07548,1653010721.10515
01:38:44.981318Z,0.07548,1653010724.981318
01:38:50.469375Z,0.07548,1653010730.469375
01:38:52.291131Z,0.07547,1653010732.291131
01:39:11.051772Z,0.07545,1653010751.051772
01:39:13.112927Z,0.07556,1653010753.112927
01:39:20.720499Z,0.07557,1653010760.720499
01:39:29.145525Z,0.0754,1653010769.145525
01:39:45.433495Z,0.07523,1653010785.433495
01:39:56.982874Z,0.07522,1653010796.982874
01:40:12.290079Z,0.07538,1653010812.290079
01:40:24.901725Z,0.07538,1653010824.901725
01:40:46.230086Z,0.07532,1653010846.230086
01:40:57.359087Z,0.07532,1653010857.359087
01:41:00.384872Z,0.07521,1653010860.384872
01:41:08.821455Z,0.0754,1653010868.821455
01:41:36.436015Z,0.0755,1653010896.436015
01:41:42.819608Z,0.07567,1653010902.819608
01:41:51.518996Z,0.07568,1653010911.518996
01:42:14.872807Z,0.0758,1653010934.872807
01:42:18.240701Z,0.07588,1653010938.240701
01:42:32.766449Z,0.07596,1653010952.766449
01:43:10.088563Z,0.07604,1653010990.088563
01:43:14.867758Z,0.07574,1653010994.867758
01:43:24.619147Z,0.07572,1653011004.619147
01:43:26.410280Z,0.07593,1653011006.41028
01:43:43.581445Z,0.07592,1653011023.581445
01:43:56.089540Z,0.07579,1653011036.08954
01:43:57.728654Z,0.07595,1653011037.728654
01:44:11.382076Z,0.07595,1653011051.382076
01:44:31.824829Z,0.07595,1653011071.824829
01:44:35.032229Z,0.07595,1653011075.032229
01:44:48.968520Z,0.07595,1653011088.96852
01:45:14.231076Z,0.07595,1653011114.231076
01:45:36.962150Z,0.07595,1653011136.96215
01:45:55.986407Z,0.07586,1653011155.986407
01:46:08.135293Z,0.07588,1653011168.135293
01:46:17.122899Z,0.0759,1653011177.122899
01:46:22.738489Z,0.07588,1653011182.738489
01:47:02.747144Z,0.07596,1653011222.747144
01:47:05.786835Z,0.07605,1653011225.786835
01:47:21.813415Z,0.07589,1653011241.813415
01:47:27.705510Z,0.07569,1653011247.70551
01:47:46.805029Z,0.07579,1653011266.805029
01:47:56.484051Z,0.07595,1653011276.484051
01:48:03.045095Z,0.07604,1653011283.045095
01:48:09.678499Z,0.07605,1653011289.678499
01:48:14.878274Z,0.07604,1653011294.878274
01:48:24.729741Z,0.07604,1653011304.729741
01:48:34.828895Z,0.07604,1653011314.828895
01:48:37.620916Z,0.07604,1653011317.620916
01:48:50.494629Z,0.07605,1653011330.494629
01:49:05.498946Z,0.07592,1653011345.498946
01:49:16.909184Z,0.07594,1653011356.909184
01:49:37.787410Z,0.07604,1653011377.78741
01:49:43.274293Z,0.07591,1653011383.274293
01:50:03.925535Z,0.07604,1653011403.925535
01:50:11.452109Z,0.07591,1653011411.452109
01:50:13.881278Z,0.07602,1653011413.881278
01:50:18.963221Z,0.07589,1653011418.963221
01:50:46.746727Z,0.07602,1653011446.746727
01:50:50.747233Z,0.07576,1653011450.747233
01:51:06.779777Z,0.07602,1653011466.779777
01:51:18.693050Z,0.07602,1653011478.69305
01:51:56.306359Z,0.07605,1653011516.306359
01:52:07.534017Z,0.07582,1653011527.534017
01:52:17.824143Z,0.07582,1653011537.824143
01:52:58.063242Z,0.076,1653011578.063242
01:53:05.013910Z,0.07599,1653011585.01391
01:53:17.327953Z,0.07582,1653011597.327953
01:53:44.373287Z,0.07605,1653011624.373287
01:53:47.549597Z,0.076,1653011627.549597
01:53:56.330133Z,0.07604,1653011636.330133
01:54:14.961090Z,0.07605,1653011654.96109
01:54:17.988757Z,0.076,1653011657.988757
01:54:23.701785Z,0.07604,1653011663.701785
01:54:40.572390Z,0.076,1653011680.57239
01:54:49.441494Z,0.07604,1653011689.441494
01:55:09.613914Z,0.07601,1653011709.613914
01:55:14.156497Z,0.076,1653011714.156497
01:55:28.651082Z,0.07605,1653011728.651082
01:55:39.282632Z,0.076,1653011739.282632
01:55:56.459882Z,0.07605,1653011756.459882
