2022-05-21,BTC-USD
Time,Price,UnixTime
00:29:57.538633Z,29296.58,1653092997.538633
00:30:00.991389Z,29306.03,1653093000.991389
00:30:06.884619Z,29298.95,1653093006.884619
00:30:12.796608Z,29300.07,1653093012.796608
00:30:17.310385Z,29302.34,1653093017.310385
00:30:21.300972Z,29305.98,1653093021.300972
00:30:26.419649Z,29307.5,1653093026.419649
00:30:32.765957Z,29306.09,1653093032.765957
00:30:37.200680Z,29300.1,1653093037.20068
00:30:42.032973Z,29301.47,1653093042.032973
00:30:47.421589Z,29292.02,1653093047.421589
00:30:51.987888Z,29288.68,1653093051.987888
00:30:56.439056Z,29285.05,1653093056.439056
00:31:03.063546Z,29284.97,1653093063.063546
00:31:06.707041Z,29284.96,1653093066.707041
00:31:13.009781Z,29284.97,1653093073.009781
00:31:18.246870Z,29282.36,1653093078.24687
00:31:22.087745Z,29285.13,1653093082.087745
00:31:28.063965Z,29279.93,1653093088.063965
00:31:32.354321Z,29280.25,1653093092.354321
00:31:37.019615Z,29280.73,1653093097.019615
00:31:43.361622Z,29270.88,1653093103.361622
00:31:48.247597Z,29270.87,1653093108.247597
00:31:52.235179Z,29264.05,1653093112.235179
00:31:58.721779Z,29267.1,1653093118.721779
00:32:03.227837Z,29268.6,1653093123.227837
00:32:08.302341Z,29280.51,1653093128.302341
00:32:13.292902Z,29284.47,1653093133.292902
00:32:18.771563Z,29282.17,1653093138.771563
00:32:23.996496Z,29283.27,1653093143.996496
00:32:29.045503Z,29283.17,1653093149.045503
00:32:33.221098Z,29283.3,1653093153.221098
00:32:39.057242Z,29284.04,1653093159.057242
00:32:43.164580Z,29287.79,1653093163.16458
00:32:48.136016Z,29287.25,1653093168.136016
00:32:53.521837Z,29282.67,1653093173.521837
00:32:56.936352Z,29282.06,1653093176.936352
00:33:03.789846Z,29281.96,1653093183.789846
00:33:07.986481Z,29281.96,1653093187.986481
00:33:14.576679Z,29281.87,1653093194.576679
00:33:17.993942Z,29281.87,1653093197.993942
00:33:24.181344Z,29280,1653093204.181344
00:33:29.166944Z,29280.01,1653093209.166944
00:33:32.149449Z,29270.7,1653093212.149449
00:33:39.800271Z,29268.15,1653093219.800271
00:33:44.660998Z,29269.19,1653093224.660998
00:33:48.291426Z,29268.63,1653093228.291426
00:33:54.682247Z,29273.48,1653093234.682247
00:33:58.301762Z,29272.08,1653093238.301762
00:34:03.895060Z,29273.48,1653093243.89506
00:34:09.182577Z,29275.85,1653093249.182577
00:34:14.807395Z,29269.69,1653093254.807395
00:34:17.911947Z,29266.73,1653093257.911947
00:34:24.841382Z,29260.01,1653093264.841382
00:34:30.272366Z,29256.5,1653093270.272366
00:34:35.273198Z,29263.42,1653093275.273198
00:34:39.309393Z,29263.43,1653093279.309393
00:34:45.125025Z,29263.94,1653093285.125025
