2022-05-20,ETH-USD
Time,Price,UnixTime
00:40:54.865292Z,2011.39,1653007254.865292
00:41:01.017812Z,2011.39,1653007261.017812
00:41:05.383959Z,2011.75,1653007265.383959
00:41:09.114466Z,2011.96,1653007269.114466
00:41:16.040085Z,2012.75,1653007276.040085
00:41:20.482022Z,2013.76,1653007280.482022
00:41:25.920082Z,2013.31,1653007285.920082
00:41:29.964641Z,2013.74,1653007289.964641
00:41:34.551760Z,2013.62,1653007294.55176
00:41:39.758537Z,2013.92,1653007299.758537
00:41:44.357101Z,2014.3,1653007304.357101
00:41:50.055Z,2015.68,1653007310.000055
00:41:56.064493Z,2015.65,1653007316.064493
00:42:01.800299Z,2015.18,1653007321.800299
00:42:05.521436Z,2014.69,1653007325.521436
00:42:11.483998Z,2014.78,1653007331.483998
00:42:16.876180Z,2014.96,1653007336.87618
00:42:21.470707Z,2014.34,1653007341.470707
00:42:27.309419Z,2015.16,1653007347.309419
00:42:32.482559Z,2015.37,1653007352.482559
00:42:38.163989Z,2014.87,1653007358.163989
00:42:42.646068Z,2014.85,1653007362.646068
00:42:48.558185Z,2014.74,1653007368.558185
00:42:53.814519Z,2014.48,1653007373.814519
00:42:57.671718Z,2014.4,1653007377.671718
00:43:03.855606Z,2013.82,1653007383.855606
00:43:08.199572Z,2013.76,1653007388.199572
00:43:13.468185Z,2013.57,1653007393.468185
00:43:18.779914Z,2013.11,1653007398.779914
00:43:22.640187Z,2013.37,1653007402.640187
00:43:28.559852Z,2013.4,1653007408.559852
00:43:31.735978Z,2012.83,1653007411.735978
00:43:36.964001Z,2012.18,1653007416.964001
00:43:44.576194Z,2012.52,1653007424.576194
00:43:47.385844Z,2012.5,1653007427.385844
00:43:53.087088Z,2012.03,1653007433.087088
00:43:58.444878Z,2011.97,1653007438.444878
00:44:03.947856Z,2011.88,1653007443.947856
00:44:09.182688Z,2011.95,1653007449.182688
00:44:14.429024Z,2012.72,1653007454.429024
00:44:18.938256Z,2012.39,1653007458.938256
00:44:24.121566Z,2012.52,1653007464.121566
00:44:29.279964Z,2012.54,1653007469.279964
00:44:33.961922Z,2013.26,1653007473.961922
00:44:39.811757Z,2013.27,1653007479.811757
00:44:42.989124Z,2014.37,1653007482.989124
00:44:49.288545Z,2013.82,1653007489.288545
00:44:54.055422Z,2015.56,1653007494.055422
00:44:59.027315Z,2015.19,1653007499.027315
00:45:03.109554Z,2016.18,1653007503.109554
00:45:09.659752Z,2015.8,1653007509.659752
00:45:14.188684Z,2015.19,1653007514.188684
00:45:18.558500Z,2015.63,1653007518.5585
00:45:25.165141Z,2015.78,1653007525.165141
00:45:29.796865Z,2016.29,1653007529.796865
00:45:32.629050Z,2016.3,1653007532.62905
00:45:38.560713Z,2015.85,1653007538.560713
00:45:43.333882Z,2016,1653007543.333882
00:45:49.050541Z,2016.34,1653007549.050541
00:45:54.540135Z,2017.05,1653007554.540135
00:45:59.268899Z,2016.58,1653007559.268899
00:46:03.937934Z,2016.28,1653007563.937934
00:46:09.794853Z,2016.54,1653007569.794853
00:46:14.753432Z,2016.21,1653007574.753432
00:46:20.930814Z,2016.51,1653007580.930814
00:46:24.660809Z,2016.46,1653007584.660809
00:46:31.075611Z,2015.82,1653007591.075611
00:46:35.687184Z,2015.43,1653007595.687184
00:46:39.729262Z,2015.55,1653007599.729262
00:46:46.057859Z,2015.42,1653007606.057859
00:46:48.308663Z,2015.57,1653007608.308663
00:46:55.700779Z,2014.72,1653007615.700779
00:46:59.034732Z,2014.84,1653007619.034732
00:47:05.670181Z,2014.63,1653007625.670181
00:47:09.887918Z,2014.79,1653007629.887918
00:47:16.002842Z,2014.89,1653007636.002842
00:47:19.496328Z,2015,1653007639.496328
00:47:26.775699Z,2015,1653007646.775699
00:47:31.430781Z,2014.08,1653007651.430781
00:47:36.553348Z,2014.34,1653007656.553348
00:47:41.437995Z,2015.35,1653007661.437995
00:47:46.442287Z,2015.16,1653007666.442287
00:47:48.008469Z,2015.07,1653007668.008469
00:47:54.938305Z,2015.41,1653007674.938305
00:48:01.852723Z,2015.42,1653007681.852723
00:48:05.582872Z,2015.9,1653007685.582872
00:48:09.442905Z,2016.91,1653007689.442905
00:48:15.385030Z,2016.85,1653007695.38503
00:48:22.077618Z,2016.57,1653007702.077618
00:48:26.368748Z,2016.6,1653007706.368748
00:48:31.850769Z,2016.16,1653007711.850769
00:48:35.432326Z,2016.19,1653007715.432326
00:48:41.760164Z,2015.5,1653007721.760164
